가게 이름,업종구분,주소,URL
비아37 신촌본점,이탈리아음식,서울 서대문구 이화여대길 77-1 비아37신촌본점,https://pcmap.place.naver.com/restaurant/11853181/review/visitor#
담솥 신촌점,한식,서울 서대문구 연세로4길 1 지하1층,https://pcmap.place.naver.com/restaurant/1554115552/review/visitor#
당나발포차 신촌점,요리주점,서울 서대문구 연세로7길 13 1층,https://pcmap.place.naver.com/restaurant/1128892039/review/visitor#
돈불1971,돼지고기구이,서울 서대문구 연세로5다길 36 돈불1971,https://pcmap.place.naver.com/restaurant/36343564/review/visitor#
다대기실비 서대문역,생선회,서울 서대문구 영천시장길 56 B호 다대기실비,https://pcmap.place.naver.com/restaurant/1532315213/review/visitor#
포가레 신촌점,베트남음식,서울 서대문구 명물길 26 2층,https://pcmap.place.naver.com/restaurant/1014319726/review/visitor#
오르랔베이커리,베이커리,서울 서대문구 신촌로 241,https://pcmap.place.naver.com/restaurant/1513933475/review/visitor#
목구멍 신촌점,"육류,고기요리",서울 서대문구 연세로11길 35 1층,https://pcmap.place.naver.com/restaurant/1682499258/review/visitor#
고래고래신촌점,생선회,서울 서대문구 연세로9길 25,https://pcmap.place.naver.com/restaurant/37275727/review/visitor#
카라멘야,일본식라면,서울 서대문구 연세로7안길 34-1 1층,https://pcmap.place.naver.com/restaurant/1767701213/review/visitor#
타코몽,일식당,서울 서대문구 신촌로 49,https://pcmap.place.naver.com/restaurant/30824321/review/visitor#
매뉴팩트커피 연희 본점,카페,서울 서대문구 연희로11길 29 2층,https://pcmap.place.naver.com/restaurant/32982001/review/visitor#
마더린러 베이글,베이글,서울 서대문구 이화여대5길 5 지상 1층,https://pcmap.place.naver.com/restaurant/37637684/review/visitor#
피터팬1978,베이커리,서울 서대문구 증가로 10,https://pcmap.place.naver.com/restaurant/13413865/review/visitor#
고삼이 신촌점,한식,서울 서대문구 연세로7안길 38 고삼이,https://pcmap.place.naver.com/restaurant/20601663/review/visitor#
오향만두,중식당,서울 서대문구 연희맛로 22 삼원빌딩,https://pcmap.place.naver.com/restaurant/32875867/review/visitor#
화우 서대문역본점,소고기구이,서울 서대문구 통일로9안길 32,https://pcmap.place.naver.com/restaurant/1923654088/review/visitor#
하늘초밥,"초밥,롤",서울 서대문구 이화여대2길 14 1층 하늘초밥,https://pcmap.place.naver.com/restaurant/1960457705/review/visitor#
하나마토 신촌,요리주점,서울 서대문구 연세로9길 10-1 1층,https://pcmap.place.naver.com/restaurant/1161590191/review/visitor#
티앙팡 오후의 홍차,카페,서울 서대문구 이화여대길 34 2층,https://pcmap.place.naver.com/restaurant/11570104/review/visitor#
평안도식당 신촌점,"순대,순댓국",서울 서대문구 연세로4길 12 1층,https://pcmap.place.naver.com/restaurant/1942369254/review/visitor#
야바이,일식당,서울 서대문구 연세로7안길 37,https://pcmap.place.naver.com/restaurant/13564299/review/visitor#
남영동양문 서대문역점,"육류,고기요리",서울 서대문구 통일로 155 1층,https://pcmap.place.naver.com/restaurant/1350034931/review/visitor#
포티드,"카페,디저트",서울 서대문구 명물길 36-3 1층,https://pcmap.place.naver.com/restaurant/1946991741/review/visitor#
처음본명품민물장어 홍제점,"장어,먹장어요리",서울 서대문구 통일로 412 1층,https://pcmap.place.naver.com/restaurant/1168730966/review/visitor#
푸어링아웃,"카페,디저트",서울 서대문구 연희로11나길 7-7 반지층 카페 (푸어링아웃),https://pcmap.place.naver.com/restaurant/36543730/review/visitor#
카츠업,돈가스,서울 서대문구 연세로5길 32 1층 카츠업,https://pcmap.place.naver.com/restaurant/1970674029/review/visitor#
복성각,중식당,서울 서대문구 명물1길 24,https://pcmap.place.naver.com/restaurant/35624223/review/visitor#
